ID_field,ID,FieldN,FieldN_2,Day_swab,Treatment,TotalInitialDoseZoosporesPermL,StrainSpecificInitialDoseZoosporesPermL,Lineage_type,Lineage,Strains,StrainID,Mortality_percentage,Cleared_percentage,Total_Bd_quantity,Number_of_lineages,DNA,VICqtyGPL,VICqtyHyb,FAMqtyBZ,GPL_pg,Brazil_pg,Hybrid,TotalBd,Susceptible,Infected,Dead
327M,327,M,S2,44,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.072592862,0,72.593,0,72.593,0,1,1
338#,338,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.027628569,0,27.629,0,27.629,0,1,0
338M,338,M,S2,48,Single,2980000,2980000,Enzootic,Brazil,172,E2,87.5,0,2461.334,1,Mtr,0,0,0.102668348,0,102.668,0,102.668,0,1,1
29#,29,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.002066358,0.001137795,0,2.066,0,0,2.066,0,1,0
29F,29,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,2.17E-06,1.56E-06,2.53E-06,0,0,0,0,1,0,0
76#,76,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.034400024,0.016985696,0,34.4,0,0,34.4,0,1,0
76F,76,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.013747765,0.007033863,0,13.748,0,0,13.748,0,1,0
98#,98,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.002302461,0.001262495,0,2.302,0,0,2.302,0,1,0
98F,98,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.004208291,0.002254201,0,4.208,0,0,4.208,0,1,0
99#,99,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.004702243,0.002507979,0,4.702,0,0,4.702,0,1,0
99F,99,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,3.63E-07,2.79E-07,1.35E-06,0,0,0,0,1,0,0
148#,148,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.006936723,0.003644429,0,6.937,0,0,6.937,0,1,0
148F,148,F,S2,76,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.027668072,0.013777453,0,27.668,0,0,27.668,0,1,0
164#,164,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.018112258,0.009168406,0,18.112,0,0,18.112,0,1,0
164M,164,M,S2,44,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.033616703,0.016613739,0,33.617,0,0,33.617,0,1,1
166#,166,#,S1,21,Single,2980000,2980000,Panzootic,GPL,198,P2,37.5,31.25,825.597,1,Mtr,0.007914945,0.004137163,0,7.915,0,0,7.915,0,1,0
